dir;receptor;fingerprint;model;mean_test_auc;mean_test_bal-acc;mean_test_acc;mean_test_mcc;mean_test_recall
data;HIVrev;3D_H;Linear SVM;0.932;0.831;0.831;0.659;0.833
data;5HT2A;GraphOnly;RBF SVM;0.932;0.869;0.883;0.696;0.894
data;D2;FP;LogisticRegression;0.932;0.865;0.869;0.717;0.878
data;NOP;GraphOnly;LogisticRegression;0.932;0.866;0.868;0.734;0.852
pca_100;catB;3D_H;RBF SVM;0.931;0.838;0.839;0.68;0.819
pca_100;mi;3D_H;LogisticRegression;0.931;0.848;0.849;0.657;0.851
data;HIVrev;FP;LogisticRegression;0.931;0.866;0.868;0.732;0.846
data;NOP;3D_noH;RBF SVM;0.931;0.807;0.791;0.61;0.907
pca_100;5HT2A;3D_H;RBF SVM;0.931;0.859;0.84;0.636;0.823
pca_0.9;HIVrev;3D_H;RBF SVM;0.931;0.831;0.836;0.667;0.796
data;5HT2A;KRFP;LogisticRegression;0.931;0.858;0.874;0.673;0.888
data;HIVprot;Ext;Linear SVM;0.931;0.862;0.897;0.7;0.922
data;HIVprot;FP;Linear SVM;0.931;0.87;0.903;0.718;0.926
data;catB;GraphOnly;LogisticRegression;0.93;0.87;0.87;0.742;0.86
data;NOP;PubCh;RBF SVM;0.93;0.876;0.868;0.75;0.926
data;5HT6;3D_H;LogisticRegression;0.93;0.833;0.931;0.66;0.959
data;mi;Ext;Linear SVM;0.93;0.873;0.893;0.738;0.918
data;HIVprot;3D_H;supervised_AE;0.929;0.899;0.899;0.8;0.871
pca_0.9;catB;3D_H;RBF SVM;0.929;0.847;0.847;0.695;0.836
data;HIVprot;PubCh;Linear SVM;0.929;0.842;0.874;0.646;0.896
data;HIVprot;3D_H;sAE_SoftMax;0.928;0.903;0.903;0.806;0.906
data;NOP;3D_H;RBF SVM;0.928;0.847;0.853;0.71;0.815
data;NOP;2D_noH;Linear SVM;0.928;0.856;0.848;0.707;0.912
pca_100;mi;3D_H;Linear SVM;0.928;0.86;0.859;0.68;0.857
pca_0.9;5HT6;3D_H;RBF SVM;0.928;0.854;0.907;0.617;0.922
